name,amount
BEAGLE - PEKINGESE,1
SHIH TZU - POMERANIAN,2
PIT BULL - CATAHOULA,1
WELSH CORGI CAR - AUST SHEPHERD,1
SUSSEX SPAN - MIX,2
AUST CATTLE DOG - COLLIE ROUGH,1
MIN PINSCHER - DACHSHUND,5
JACK RUSS TER - WELSH CORGI PEM,1
LHASA APSO - POODLE MIN,1
CHIHUAHUA SH - TOY FOX TERRIER,1
COLLIE ROUGH - ST BERNARD RGH,2
BEAGLE - AUST TERRIER,1
AMERICAN STAFF - BOXER,2
RAT TERRIER - MIX,21
BASENJI - CHIHUAHUA SH,2
SUSSEX SPAN - SHETLD SHEEPDOG,1
LABRADOR RETR - AKITA,1
BULLMASTIFF - MIX,9
BEAGLE - POINTER,1
PIT BULL - CHINESE SHARPEI,2
LABRADOR RETR - NORFOLK TERRIER,1
BEAGLE - BOSTON TERRIER,1
BELG MALINOIS - MIX,4
ENG TOY SPANIEL - PUG,1
AFFENPINSCHER - YORKSHIRE TERR,1
BLACK/TAN HOUND - PLOTT HOUND,1
PBGV - GLEN OF IMAAL,2
GREYHOUND - MIX,6
ST BERNARD RGH - MIX,5
FOX TERR SMOOTH - MIX,4
CHIHUAHUA SH - BASENJI,1
KEESHOND - MIX,1
BORDER COLLIE - JACK RUSS TER,2
JACK RUSS TER - BEAGLE,17
GOLDEN RETR - BORDER COLLIE,1
LHASA APSO - LHASA APSO,1
DOMESTIC LH - DOMESTIC MH,2
SCOT TERRIER - SCHNAUZER MIN,1
BEAGLE - WHIPPET,1
POODLE TOY - LHASA APSO,1
GOLDEN RETR - LABRADOR RETR,6
GERM SHEPHERD - CHINESE SHARPEI,2
CHOW CHOW - FOX TERR SMOOTH,1
BOSTON TERRIER - MIX,18
SIBERIAN HUSKY - BEAGLE,3
BORDER TERRIER - BEAGLE,1
ENG FOXHOUND - MIX,2
DOMESTIC SH - RUSSIAN BLUE,3
PUG - PEKINGESE,1
ROTTWEILER - DACHSHUND,1
BOXER - LABRADOR RETR,7
POODLE TOY - PURE BRED,4
GERM SHEPHERD - LABRADOR RETR,18
LHASA APSO - SHETLD SHEEPDOG,1
LABRADOR RETR - DOBERMAN PINSCH,7
BICHON FRISE - MALTESE,1
PIT BULL - CANE CORSO,1
PBGV - MIX,2
BEAGLE - AUST CATTLE DOG,3
ALASK MALAMUTE - PURE BRED,1
AKITA - PIT BULL,1
VIZSLA - MIX,1
POINTER - BRITTANY,1
COLLIE ROUGH - MIX,8
