AnimalType,IntakeMonth,Breed,Age,Sex,SpayNeuter,Size,Color,IntakeType,Class
DOG,July,,Youth - Younger than 1 year,FEMALE,false,PUPPY,BLACK,Stray,Euthanized
CAT,September,,Infant - Younger than 6 months,FEMALE,false,KITTN,GRAY,Stray,Other
DOG,July,BOXER - MIX,Older than 1 year,MALE,true,MED,BROWN,Stray,Home
DOG,April,BASSET HOUND - LABRADOR RETR,Older than 1 year,MALE,true,SMALL,BLACK,Owner Surrender,Other
DOG,May,BEAGLE - MIX,Older than 1 year,FEMALE,true,MED,WHITE,Stray,Home
DOG,May,BEAGLE - MIX,Older than 1 year,FEMALE,true,MED,BROWN,Stray,Home
CAT,August,,,UNKNOWN,false,MED,BRN TABBY,Stray,Euthanized
DOG,August,,,MALE,false,SMALL,UNKNOWN,Reported Lost by Public,Other
CAT,September,,,UNKNOWN,false,SMALL,BLACK,Stray,Euthanized
DOG,February,DALMATIAN - PIT BULL,,FEMALE,true,LARGE,WHITE,Stray,Euthanized
CAT,August,,,MALE,false,SMALL,UNKNOWN,Reported Lost by Public,Other
CAT,April,,Older than 1 year,UNKNOWN,false,MED,BLACK,Owner Surrender,Euthanized
CAT,April,,,FEMALE,false,MED,ORG TABBY,Stray,Other
CAT,April,,Older than 7 years,MALE,true,SMALL,WHITE,Owner Surrender,Euthanized
CAT,November,,,MALE,false,LARGE,BRN TABBY,Stray,Euthanized
DOG,April,PIT BULL - MIX,,MALE,false,MED,BROWN,Stray,Other
DOG,August,,,MALE,false,PUPPY,TAN,Stray,Other
CAT,February,,Youth - Younger than 1 year,MALE,false,MED,BRN TABBY,Owner Surrender,Euthanized
CAT,September,,,FEMALE,false,KITTN,TORTIE,Stray,Euthanized
CAT,August,,Older than 7 years,FEMALE,true,LARGE,BRN TIGER,Owner Surrender,Euthanized
CAT,May,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY,Stray,Other
DOG,May,CHOW CHOW - MIX,Older than 1 year,FEMALE,true,MED,RED,Stray,Other
DOG,January,,Older than 1 year,MALE,true,PUPPY,BROWN,Stray,Home
DOG,February,BORDER COLLIE - GOLDEN RETR,Older than 1 year,FEMALE,true,MED,BUFF,Foster Return,Other
DOG,June,DACHSHUND - MIX,,MALE,false,SMALL,BLACK,Owner Surrender,Euthanized
DOG,March,,Older than 7 years,FEMALE,false,SMALL,BLACK,Stray,Other
